y,m,d,Rainfall,Snowfall,Melt,Refreeze,Snowpack,Snowpack_ice,Eact,I,S_SOIL,S_UZ,S_LZ,QGW0,QGW1,QGW2,QGW,Qsim,Qobs
2000,12,30,0.000,0.000,0.000,0.000,0.000,0.000,0.660,0.000,2.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.15
2000,12,31,0.000,0.000,0.000,0.000,0.000,0.000,0.529,0.000,2.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.14
2001,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.000,1.736,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.13
2001,1,2,0.000,0.000,0.000,0.000,0.000,0.000,0.340,0.000,1.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.12
2001,1,3,0.000,0.000,0.000,0.000,0.000,0.000,0.273,0.000,1.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.11
2001,1,4,0.000,0.000,0.000,0.000,0.000,0.000,0.219,0.000,0.905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.10
2001,1,5,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.09
2001,1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.000,0.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.08
2001,1,7,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.000,0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.07
2001,1,8,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.06
2001,1,9,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.000,0.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.05
2001,1,10,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.05
2001,1,11,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.04
2001,1,12,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.03
2001,1,13,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.03
2001,1,14,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.02
2001,1,15,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
