y,m,d,Rainfall,Snowfall,Melt,Refreeze,Snowpack,Snowpack_ice,Eact,I,S_SOIL,S_UZ,S_LZ,QGW0,QGW1,QGW2,QGW,Qsim,Qobs
2001,1,24,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.823,0.076,0.084,0.000,0.008,0.009,0.018,0.018,0.01
2001,1,25,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.000,0.742,0.068,0.077,0.000,0.007,0.008,0.016,0.017,0.01
2001,1,26,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.669,0.061,0.069,0.000,0.007,0.008,0.014,0.015,0.01
2001,1,27,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.604,0.055,0.063,0.000,0.006,0.007,0.013,0.014,0.01
2001,1,28,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.546,0.049,0.057,0.000,0.005,0.006,0.012,0.012,0.01
2001,1,29,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.000,0.494,0.044,0.052,0.000,0.005,0.006,0.010,0.011,0.01
2001,1,30,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.447,0.039,0.047,0.000,0.004,0.005,0.009,0.010,0.01
2001,1,31,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.405,0.035,0.043,0.000,0.004,0.005,0.009,0.009,0.01
2001,2,1,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.367,0.031,0.039,0.000,0.003,0.004,0.008,0.008,0.01
2001,2,2,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.332,0.028,0.036,0.000,0.003,0.004,0.007,0.007,0.01
2001,2,3,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.302,0.024,0.033,0.000,0.003,0.004,0.006,0.007,0.01
2001,2,4,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.274,0.022,0.030,0.000,0.002,0.003,0.006,0.006,0.01
2001,2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.249,0.019,0.027,0.000,0.002,0.003,0.005,0.005,0.01
2001,2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.227,0.017,0.025,0.000,0.002,0.003,0.005,0.005,0.01
2001,2,7,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.206,0.015,0.023,0.000,0.002,0.002,0.004,0.004,0.01
2001,2,8,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.188,0.013,0.021,0.000,0.001,0.002,0.004,0.004,0.01
2001,2,9,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.172,0.011,0.019,0.000,0.001,0.002,0.003,0.004,0.01
2001,2,10,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.157,0.010,0.018,0.000,0.001,0.002,0.003,0.003,0.01
2001,2,11,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.143,0.008,0.016,0.000,0.001,0.002,0.003,0.003,0.01
2001,2,12,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.131,0.007,0.015,0.000,0.001,0.002,0.002,0.003,0.01
2001,2,13,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.120,0.006,0.014,0.000,0.001,0.002,0.002,0.002,0.01
2001,2,14,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.110,0.005,0.013,0.000,0.001,0.001,0.002,0.002,0.01
2001,2,15,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.101,0.004,0.012,0.000,0.000,0.001,0.002,0.002,0.01
2001,2,16,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.092,0.003,0.011,0.000,0.000,0.001,0.002,0.002,0.01
2001,2,17,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.085,0.002,0.011,0.000,0.000,0.001,0.001,0.002,0.01
2001,2,18,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.078,0.002,0.010,0.000,0.000,0.001,0.001,0.001,0.01
2001,2,19,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.072,0.001,0.009,0.000,0.000,0.001,0.001,0.001,0.01
